date,time,message_type,message
2017-08-29,12:44:40,Tips,Taking Off
2017-08-29,12:44:42,Tips,Taking Off
2017-08-29,12:44:43,,Home Point Recorded. RTH Altitude:  30m.
2017-08-29,12:47:35,,Tap the screen lightly to focus.
2017-08-29,12:57:30,,Obstacle Avoided. Revise Flight Route
2017-08-29,12:57:52,,Obstacle Avoidance will be disabled in landing.
