date,time,message
2017-08-26,12:13:10.582,send 950272 / 1461450
2017-08-26,12:13:10.583,send 958464 / 1461450
2017-08-26,12:13:10.583,send 966656 / 1461450
2017-08-26,12:13:10.584,send 974848 / 1461450
2017-08-26,12:13:10.585,send 983040 / 1461450
2017-08-26,12:13:10.585,send 991232 / 1461450
2017-08-26,12:13:10.586,send 999424 / 1461450
2017-08-26,12:13:10.586,send 1007616 / 1461450
2017-08-26,12:13:10.587,send 1015808 / 1461450
2017-08-26,12:13:10.587,send 1024000 / 1461450
2017-08-26,12:13:10.588,send 1032192 / 1461450
2017-08-26,12:13:10.588,send 1040384 / 1461450
2017-08-26,12:13:10.588,send 1048576 / 1461450
2017-08-26,12:13:10.588,send 1056768 / 1461450
2017-08-26,12:13:10.589,send 1064960 / 1461450
2017-08-26,12:13:10.590,send 1073152 / 1461450
2017-08-26,12:13:10.601,send 1081344 / 1461450
2017-08-26,12:13:10.605,send 1089536 / 1461450
2017-08-26,12:13:10.606,send 1097728 / 1461450
2017-08-26,12:13:10.606,send 1105920 / 1461450
2017-08-26,12:13:10.640,send 1114112 / 1461450
2017-08-26,12:13:10.642,send 1122304 / 1461450
2017-08-26,12:13:10.642,send 1130496 / 1461450
2017-08-26,12:13:10.642,send 1138688 / 1461450
2017-08-26,12:13:10.642,send 1146880 / 1461450
2017-08-26,12:13:10.643,send 1155072 / 1461450
2017-08-26,12:13:10.643,send 1163264 / 1461450
2017-08-26,12:13:10.644,send 1171456 / 1461450
2017-08-26,12:13:10.644,send 1179648 / 1461450
2017-08-26,12:13:10.645,send 1187840 / 1461450
2017-08-26,12:13:10.645,send 1196032 / 1461450
2017-08-26,12:13:10.645,send 1204224 / 1461450
2017-08-26,12:13:10.646,send 1212416 / 1461450
2017-08-26,12:13:10.646,send 1220608 / 1461450
2017-08-26,12:13:10.647,send 1228800 / 1461450
2017-08-26,12:13:10.647,send 1236992 / 1461450
2017-08-26,12:13:10.648,send 1245184 / 1461450
2017-08-26,12:13:10.648,send 1253376 / 1461450
2017-08-26,12:13:10.648,send 1261568 / 1461450
2017-08-26,12:13:10.648,send 1269760 / 1461450
2017-08-26,12:13:10.649,send 1277952 / 1461450
