date,time,message
2017-06-29,10:12:47.124,need upgrade groups: (
,,
,,
,,
,,
2017-06-29,10:12:47.142,"need upgrade m1400: 04.01.01.00, device version: 04.01.00.10"
2017-06-29,10:12:47.142,need upgrade groups: (
,,
,,
,,
,,
,,
2017-06-29,10:24:48.799,remove need upgrade groups
2017-06-29,10:24:48.800,DisconnectedWithAircraft
2017-06-29,10:25:05.819,remove need upgrade groups
2017-06-29,10:25:05.819,DisconnectedWithAircraft
