date,time,message
2018-09-26,11:52:57.837,check upgrade for 1301
2018-09-26,11:52:57.840,"server pack version : 01.00.0000 , device pack version : 01.00.0000 , isBigger:0"
2018-09-26,11:52:57.841,check upgrade for 0801
2018-09-26,11:52:57.847,"server pack version : 01.00.0000 , device pack version : 01.00.0000 , isBigger:0"
2018-09-26,11:52:58.705,set upgrader to nil because need upgrade group count is 0.
2018-09-26,11:53:02.881,set upgrader to nil because need upgrade group count is 0.
2018-09-26,11:53:11.049,check upgrade for 1301
2018-09-26,11:53:11.055,"server pack version : 01.00.0000 , device pack version : 01.00.0000 , isBigger:0"
2018-09-26,11:53:11.056,check upgrade for 0801
2018-09-26,11:53:11.061,"server pack version : 01.00.0000 , device pack version : 01.00.0000 , isBigger:0"
2018-09-26,11:53:17.051,set upgrader to nil because need upgrade group count is 0.
2018-09-26,11:54:33.449,set upgrader to nil because need upgrade group count is 0.
2018-09-26,11:55:14.685,set upgrader to nil because need upgrade group count is 0.
2018-09-26,11:55:20.421,check upgrade for 1301
2018-09-26,11:55:20.421,no device info
2018-09-26,11:55:20.421,check upgrade for 0801
2018-09-26,11:55:20.421,no device info
2018-09-26,11:55:26.423,set upgrader to nil because need upgrade group count is 0.
2018-09-26,11:55:34.825,set upgrader to nil because need upgrade group count is 0.
2018-09-26,11:55:34.826,check upgrade for 1301
2018-09-26,11:55:34.826,no device info
2018-09-26,11:55:34.826,check upgrade for 0801
2018-09-26,11:55:34.826,no device info
2018-09-26,11:55:34.830,check upgrade for 1301
2018-09-26,11:55:34.830,no device info
2018-09-26,11:55:34.830,check upgrade for 0801
2018-09-26,11:55:34.830,no device info
2018-09-26,11:55:34.913,check upgrade for 1301
2018-09-26,11:55:34.917,"server pack version : 01.00.0000 , device pack version : 01.00.0000 , isBigger:0"
2018-09-26,11:55:34.925,check upgrade for 1301
2018-09-26,11:55:34.926,"server pack version : 01.00.0000 , device pack version : 01.00.0000 , isBigger:0"
2018-09-26,11:55:36.741,check upgrade for 2801
2018-09-26,11:55:36.743,can not get server version info
2018-09-26,11:55:40.292,check upgrade for 2801
2018-09-26,11:55:40.293,can not get server version info
2018-09-26,11:55:40.891,set upgrader to nil because need upgrade group count is 0.
2018-09-26,11:55:41.247,check upgrade for 0801
2018-09-26,11:55:41.248,"server pack version : 01.00.0000 , device pack version : 01.00.0000 , isBigger:0"
2018-09-26,11:55:42.359,set upgrader to nil because need upgrade group count is 0.
2018-09-26,11:55:46.298,set upgrader to nil because need upgrade group count is 0.
2018-09-26,11:55:47.192,fetching version for gl811
2018-09-26,11:55:47.193,fetching version list using url :https://mydjiflight.dji.com/getfile/getallfile
