date,time,message
8/3/2017,57:26.7,"need upgrade m0100: 02.70.54.40, device version: 01.05.21.71"
8/3/2017,57:26.7,need upgrade groups: (
8/3/2017,57:27.0,"need upgrade m0100: 02.70.54.40, device version: 01.05.21.71"
8/3/2017,57:27.0,need upgrade groups: (
8/3/2017,57:27.0,"need upgrade m0800: 02.14.09.42, device version: 01.10.00.14"
8/3/2017,57:27.0,need upgrade groups: (
8/3/2017,57:27.5,"need upgrade m0400: 01.30.01.43, device version: 01.13.00.73"
8/3/2017,57:27.5,need upgrade groups: (
8/3/2017,57:27.9,"need upgrade m0900: 05.00.00.00, device version: 03.01.00.00"
8/3/2017,57:27.9,need upgrade groups: (
8/3/2017,57:27.9,"need upgrade m0306: 02.04.20.50, device version: 02.04.20.28"
8/3/2017,57:27.9,need upgrade groups: (
8/3/2017,01:19.2,"need upgrade m1300: 02.35.00.00, device version: 02.32.00.00"
8/3/2017,01:19.2,need upgrade groups: (
8/3/2017,01:19.2,"need upgrade m1400: 04.12.01.04, device version: 04.12.01.03"
8/3/2017,01:19.2,need upgrade groups: (
8/3/2017,01:19.2,"need upgrade m0306: 02.04.20.50, device version: 02.04.20.28"
8/3/2017,01:19.2,need upgrade groups: (
8/3/2017,01:19.2,"need upgrade m0100: 02.70.54.40, device version: 01.05.21.71"
8/3/2017,01:19.2,need upgrade groups: (
8/3/2017,01:19.2,"need upgrade m0800: 02.14.09.42, device version: 01.10.00.14"
8/3/2017,01:19.2,need upgrade groups: (
8/3/2017,01:19.2,"need upgrade m0400: 01.30.01.43, device version: 01.13.00.73"
8/3/2017,01:19.2,need upgrade groups: (
8/3/2017,01:19.2,"need upgrade m0900: 05.00.00.00, device version: 03.01.00.00"
8/3/2017,01:19.2,need upgrade groups: (
8/3/2017,01:19.2,"need upgrade m0306: 02.04.20.50, device version: 02.04.20.28"
8/3/2017,01:19.2,need upgrade groups: (
8/3/2017,03:09.6,remove need upgrade groups
8/3/2017,03:09.6,DisconnectedWithAircraft
8/3/2017,03:37.4,remove need upgrade groups
8/3/2017,03:37.4,DisconnectedWithAircraft
8/3/2017,21:01.7,remove need upgrade groups
8/3/2017,21:01.7,DisconnectedWithAircraft
