date,time,message_type,message
2018-09-26,11:18:15,,Not Allowed to change Aircraft Mode. If needed
2018-09-26,11:18:16,,Not Allowed to change Aircraft Mode. If needed
2018-09-26,11:18:18,,Home Point Recorded. RTH Altitude:  30m.
2018-09-26,11:18:26,,Tap the screen lightly to focus.
2018-09-26,11:21:09,,Tap the screen lightly to focus.
