date,time,message_type,message
2018-06-19,13:10:30,,Your aircraft has entered a Warning Zone (Class D). Please fly with caution.
2018-06-19,13:11:43,High Wind Velocity,Fly with caution and ensure the aircraft remains within your line of sight.
