date,time,message
2018-06-13,16:01:52.836,check upgrade for 0801
2018-06-13,16:01:52.836,no device info
2018-06-13,16:04:33.961,check upgrade for 0801
2018-06-13,16:04:33.961,no device info
2018-06-13,16:08:14.583,check upgrade for 0801
2018-06-13,16:08:14.583,no device info
2018-06-13,16:08:15.888,check upgrade for 0801
2018-06-13,16:08:15.889,no device info
